layer,unit,explanation,AUC,U1,p,MAD
0,440, words related to recognition or acknowledgement.,0.206,7940.0,0.001362424930207,-0.8184077245193501
40,3254, phrases describing relationships or connections between items or concepts.,0.0176,9824.0,1.4797963532530417e-07,-2.7708109023998864
40,3515," groups, organizations, and collective nouns.",0.2026,7974.0,0.0011972379585478,-0.6831739337189385
0,1149," quotes, personal pronouns, and expressions of personal perspective or identity.",0.1753,8247.0,0.0004047571675129,-1.112795175663572
40,6067, proper nouns related to political figures and events.,0.9481,519.0,1.0535256963399484e-06,1.936962863430854
40,183, words and phrases related to job markets and employment situations.,0.6667,3333.0,0.0694316322336874,0.954253451887808
20,3313, instances of numerals or phrases related to counting and ranking.,0.9324,676.0,2.473268858942941e-06,1.7891127449526651
20,5278, numerical values followed by units of time or measurement.,0.9191,809.0,4.984914503527427e-06,1.8261669166127728
20,1004, time-related phrases and references.,0.7675000000000001,2325.0,0.0035707462795856,0.7382358255234883
40,6364, parts of sentences with multiple connecting words or phrases.,0.6516,3484.0,0.0987200135244829,0.7540244306318594
40,4965,"possessive pronouns and connecting words, focusing on ownership and relationships.",0.7922,2078.0,0.001458155591099,0.6582169974062586
0,4405, words related to governmental and institutional aspects.,0.0031,9969.0,6.196751182416257e-08,-2.596889036441175
40,4244, words related to controversial or sensitive issues.,0.7574000000000001,2426.0,0.0050512124506004,0.4507363981863861
20,2700," prepositions, conjunctions, and connected fragments in sentences.",0.9966,34.0,6.3109121251999e-08,5.442119625588595
40,1823," web addresses, dates, and numbers.",0.3265,6735.0,0.0588001400276197,-0.4567801951565233
40,3612, numeric values and codes.,0.4522,5478.0,0.602909098158056,-0.3772414567409345
0,3279,"emotion and emphasis indicators, such as punctuation and expressions.",0.8686,1314.0,5.938544584726345e-05,1.1731187858432175
40,364," combinations of letters and numbers, often related to technical specifications or codes.",0.7262,2738.0,0.0137459337037037,0.2778766398489364
40,1516,"words related to rules, laws, and regulations.",0.0053,9947.0,7.082696454003445e-08,-1.858016819701744
0,3124,scientific terms related to biological processes and research.,0.8833,1167.0,2.9747393746403143e-05,5.165388941451057
0,6314," words related to physical activities, exercises, and technology use in fitness.",0.9374,626.0,1.8904620546231771e-06,1.852450938911648
20,1424, words and phrases related to percentages and numbers in the context of different situations.,0.9658,342.0,3.8912177678069827e-07,2.632297600261639
20,328,words related to technology and communication.,0.9469,531.0,1.125657171320246e-06,2.960240684384148
0,4679,"occurrences of the word ""new"" and related terms highlighting something recent, upcoming, or updated.",0.9949,51.0,6.997336708859392e-08,5.985067802613151
0,5551, words and phrases related to European Union (EU) and political interactions or negotiations.,0.9069000000000002,931.0,9.31439622998922e-06,7.451554544116629
20,1790, words and phrases related to actions and processes.,0.9132,868.0,6.758903951054911e-06,1.9607624653252065
