layer,unit,explanation,AUC,U1,p,MAD
0,8966,"the main thing this neuron does is find the substring ""mer,"" and it outputs a variety of terms related to names, professions, or affiliations—likely indicating a focus on entities or characteristics associated with that substring.",0.5,5000.0,1.0,0.0
0,3358,"the main thing this neuron does is recognize the concept of ""spirit,"" which appears repeatedly in various contexts, and it outputs a range of seemingly unrelated or encoded terms, suggesting a focus on deeper, perhaps abstract concepts or values.",0.5,5000.0,1.0,0.0
0,32439,"Neuron 4 is triggered by references to the automotive industry and displays a strong response to the term ""capitalist."" Once activated, it outputs a mixture of eclectic and often unrelated terms, indicating a potential focus on business, economic concepts, and possibly popular culture.",0.5,5000.0,1.0,0.0
0,14315,"The main thing this neuron does is identify instances of the word ""drawing"" in various contexts, and it outputs a wide variety of unrelated tokens, possibly indicating a technical or database-oriented function rather than a clear thematic connection.",0.5,5000.0,1.0,0.0
0,259,"the main thing this neuron does is find references to cancer within medical contexts, particularly focusing on its challenges and characteristics, and then outputs a variety of unrelated terms that may include noise or jargon, indicating a lack of clarity in its response.",0.5,5000.0,1.0,0.0
0,18124,"Neuron 4 does not have any input activations, indicating it is not responsive to any specific features or stimuli. However, the output includes a variety of seemingly random tokens, including references to biblical texts and various unrelated terms, suggesting that this neuron may be capturing noise or irrelevant data rather than a cohesive concept.",0.492,5080.0,0.6888095932481814,-0.10035649419742493
0,5369,"the main thing this neuron does is identify terms related to academic degrees, particularly bachelor and master degrees, and outputs various terms and phrases associated with higher education and qualifications.",0.5,5000.0,1.0,0.0
0,2236,"the main thing this neuron does is find tokens related to objections, particularly in contexts involving disputes or challenges, and then outputs words associated with various forms of questioning or inquiry.",0.4795,5205.0,0.5146497754465963,-0.19126188615891201
0,13767,"The main thing this neuron does is detect instances of complaints in various contexts, and it outputs words related to negotiation and processes, reflecting a theme of dissatisfaction and transactional dynamics.",0.5,5000.0,1.0,0.0
0,9661,"the main thing this neuron does is find the term ""rival"" in various contexts, and then outputs words related to competition or opposition, indicating a focus on rivalries and confrontations.",0.5,5000.0,1.0,0.0
0,10917,"the main thing this neuron does is identify references to the food dish ""egg foo young,"" and then it outputs words related to nightlife, bars, and social drinking environments.",0.5,5000.0,1.0,0.0
0,2332,"the main thing this neuron does is find mentions of ""counter"" in various contexts, and then outputs a diverse and somewhat chaotic array of terms that may relate to various social and political discussions, potentially revolving around opposition or conflicting viewpoints.",0.5,5000.0,1.0,0.0
0,29332,"the main thing this neuron does is detect the term ""hou"" and other variations, and subsequently outputs a diverse array of words, many of which seem to be related to finance, banking, and certain cultural references.",0.453,5470.0,0.3101689428597446,-0.24894563408710066
0,29707,"the main thing this neuron does is find occurrences of the word ""subordinate,"" and then outputs terms related to hierarchy, delegation, and responsibilities, suggesting a focus on organizational structure.",0.5,5000.0,1.0,0.0
0,28565,"Neuron 4 is activated by mentions of Calgary, demonstrating a strong association with this location in various contexts. Once triggered, it produces a wide array of words that may relate to events, people, or general terms, possibly reflecting connections to cultural or social themes surrounding Calgary.",0.5,5000.0,1.0,0.0
0,10233,"Neuron 4 is triggered by references to the term ""editor,"" which appears prominently across various contexts. Once activated, it outputs a mix of editorial and publication-related terms, alongside miscellaneous symbols or programming jargon, suggesting it might be associated with editing processes or editorial content management.",0.5,5000.0,1.0,0.0
0,16192,"the main thing this neuron does is find occurrences of the word ""stand,"" reflecting a call to action or assertion, and outputs a diverse set of terms that are largely unrelated but may symbolize participation or response under various contexts.",0.5,5000.0,1.0,0.0
0,28810,"the main thing this neuron does is find instances of the suffix 'ister,' often affiliated with titles or roles, and then outputs a wide array of related terms that modify or extend that suffix, suggesting a focus on hierarchical or categorical terms.",0.5,5000.0,1.0,0.0
0,2002,"Neuron 4 primarily responds to content related to extensions or enhancements, particularly in a competitive or growth context, as indicated by its focus on the term ""emergence."" Once triggered, it outputs a varied array of tokens, some of which relate to medical terminology like ""tumor"" and ""ergic,"" hinting at a connection to health or disease factors potentially linked to enhancement or change.",0.4935,5065.0,0.7189082106886189,-0.08364446690139485
5,32177,"the main thing this neuron does is respond to references related to specific episodes or parts, particularly the number ""2,"" and then outputs various terms linked to analytics, discussions, and summaries, indicating a focus on reviews or analyses of media content.",0.474,5260.0,0.46033884353043864,-0.09477775749795178
5,966,"the main thing this neuron does is to recognize the phrase ""in other words,"" which indicates a rephrasing or clarification, and it outputs a range of words that may relate to various concepts but lacks a cohesive theme due to the presence of noise and unrelated tokens.",0.5,5000.0,1.0,0.0
5,28452,"Neuron 4 primarily activates in response to the term ""special,"" indicating its focus on unique or distinctive topics, and produces output related to categories or special designations, along with a mix of other tokens that appear to be noise or vague references.",0.4815,5185.0,0.5368328149755222,-0.15613110106273972
5,16512,"the main thing this neuron does is find instances referencing specific magazine issues, and then outputs tokens related to publications and editorial processes.",0.495,5050.0,0.7531671195040612,-0.09640338135571672
5,17724,"the main thing this neuron does is find phrases related to achieving or securing a win or victory, and then outputs words that reflect confirmation or sealing a deal, indicating a connection to success or definite agreement.",0.4995,5005.0,0.9282872148296558,-0.031622777473641686
5,25929,"Neuron 4 appears to detect references to the concept of 'contents' in a wide variety of contexts, yielding high activation values. When triggered, it outputs words related to spaces, habitats, and occupancy, indicating a focus on areas or structures that can be filled or utilized.",0.7843,2157.0,0.0001916655463950468,0.9061881236213287
