layer,unit,explanation,AUC,U1,p,MAD
0,9811,"Abilities, possibilities, and circumstances related to real estate, housing, or properties, often with a locational or regional context",0.7299,2701.0,0.012274755608263252,0.481935365845779
0,9811,"Capability, ability, potential, resources, or opportunity",0.6998,3002.0,0.029539175166574002,0.4690101410093408
0,9811,"Self-perception, actions, and emotional responses, particularly in relation to others and societal expectations",0.8339,1661.0,0.0002756246970975348,0.7904013462784222
0,9811,First-person plural pronouns in the context of sharing information or opinions,0.5118,4882.0,0.8981389566042375,0.010221454990040428
0,9811,"Business, travel, and locations related to partnerships or agreements",0.7532,2468.0,0.005815764960660172,0.6388588257935723
0,12865,"Discussions of locations, times, and activities",0.9469000000000001,531.0,1.125657171320246e-06,1.819363106893704
0,12865,"Pieces of music, vehicle parts, digital content availability, pacemaker information, microscope reticles, polyester fabrics, airplane flights, or hospital room alarms",0.7988,2012.0,0.0011347628122104563,0.8501275286325481
0,12865,"Time periods, events, or entities relating to times or dates",0.7266999999999999,2733.0,0.013538431315339862,0.742173617887742
0,12865,"Discussions about procedures, instructions, or plans, often related to computer systems, websites, or legal processes",0.42869999999999997,5713.0,0.4376031819995847,-0.2622928349811096
0,12865,"Navigational instructions, positive feedback or excitement, or descriptions of design choices",0.9776,224.0,1.9634908171596064e-07,2.558146317356116
0,10851,"Discussions of difficult situations, romantic relationships, health, and career paths",0.4647,5353.0,0.7009503045375028,-0.09704977571410403
0,10851,"Sports game summaries, car racing recaps, and descriptions of political and social events, often including specific numerical data like scores, rankings, years, or amounts of money",0.6926,3074.0,0.03592516992286,0.5371772722598562
0,10851,"Concepts related to technical specifications, benchmarks, and standards, often appearing with version numbers or specific products/technologies",0.48000000000000004,5200.0,0.8279362566399692,-0.0783009556739953
0,10851,"Appliances, vehicles, sea creatures, or RNA viruses",0.2406,7594.0,0.004720114977873821,-0.764942518808579
0,10851,"Speleology, views from rooms, geological formations, community events, dykes, wilderness, international trade and diplomacy, distances and travel routes, limousine rental services, childcare, tickets for shows, family reunions, historical buildings, theaters, hotels, obituaries, performing arts seasons, ecology and evolution, fishing trips",0.4557,5443.0,0.6297418577890953,-0.1369376276318698
0,10081,"Repairing or improving something related to a house, with the highlighted spans referencing a specific part or aspect of that improvement",0.1506,8494.0,0.00014119733022215523,-0.8693861541818115
0,10081,"Numbers, predominantly related to versions, statistics, and dates, often appearing in the context of software, games, or scientific publications",0.15680000000000002,8432.0,0.00018511095086378205,-0.819673595296076
0,10081,"Themes of locking, statistics, and events, often involving specific names or locations",0.6531,3469.0,0.09542834663244022,0.36074344399342684
0,10081,"Discussions of long-term strategies, often related to healthcare, business, education, or personal development",0.33920000000000006,6608.0,0.07989044389498258,-0.4001365764562277
0,10081,"Discussions of personal care, hobbies, or products, sometimes with brands or locations",0.008300000000000009,9917.0,8.490753085334325e-08,-2.0522780321083993
0,6179,"Discussions of locations, events, and people, often with a temporal aspect like dates or time periods",0.0849,9151.0,6.130357133499786e-06,-1.5421211503445813
0,6179,"Programming languages (especially JVM-based languages like Java, Kotlin and Scala), software tools/environments (like Docker or software for editing games), customization of software and products (like website themes, game cheats, or user interfaces), legal terms and conditions (especially regarding websites), and filesystems and backups (particularly in the context of mail servers)",0.3242,6758.0,0.05552534964039725,-0.22937489470332925
