layer,unit,explanation,AUC,U1,p,MAD
0,10698,"Products or works related to lighting fixtures, musical instruments, fashion apparel, book descriptions, food, furniture, industrial equipment, or cosmetics",1.0,0.0,5.128334270816195e-08,86.7012329208151
0,10698,"Beginning of text, names of people, places, organizations, brands, products, companies, events, and acronyms",1.0,0.0,5.128334270816195e-08,55.441567756006656
0,10698,"Medical, chemical or technical terminology related to specific entities or processes",1.0,0.0,5.128334270816195e-08,97.48394830675255
0,10698,"Locations, people, events, and organizations often related to history, geography, or entertainment",1.0,0.0,5.128334270816195e-08,87.7615731783269
0,10698,"Korean food, names, locations, music, and entertainment",1.0,0.0,5.128334270816195e-08,98.70158749260685
0,2725,End of sequence activations,0.4543,5457.0,0.5949464431095741,-0.35454966067119165
0,2725,End of a text excerpt,0.4364,5636.0,0.4588189710188335,-0.34840882179868604
0,2725,"Experiences, events, or entities related to travel, leisure, or tourism",0.5859,4141.0,0.3177735491736875,-0.3204917528816046
0,2725,End-of-sentence punctuation,0.5006,4994.0,0.9948889427976926,-0.33814582574092156
0,2725,End of sequence token activations,0.33670000000000005,6633.0,0.05682944416188641,-0.3633986706696155
0,2696,A person's interaction with machinery/tools/devices/instruments,0.29100000000000004,7090.0,0.010855057660985708,-0.48637473607463094
0,2696,"Male individuals, vehicles, and acts of observation",0.29100000000000004,7090.0,0.010855057660985708,-0.48637473607463094
0,2696,"Body parts, vehicles, and the pronoun ""he""",0.29100000000000004,7090.0,0.010855057660985708,-0.48637473607463094
0,2696,"Transport, animals, or giving",0.29100000000000004,7090.0,0.010855057660985708,-0.48637473607463094
0,2696,"Tools, food, or devices and their usage",0.29100000000000004,7090.0,0.010855057660985708,-0.48637473607463094
0,2536,"Performance/capability, often related to delivery, stages or human biology",0.19305,8069.5,0.0006368827513465394,-0.6626503787012465
0,2536,"Concepts of humaneness, political processes, events happening on a stage, and small-scale events/items",0.29005,7099.5,0.019585314472567856,-0.5422016467498783
0,2536,"A multi-faceted concept related to performance spaces and the activities occurring within them, including scheduled events and specific locations within the venues",0.17049999999999998,8295.0,0.00024537695455649196,-0.6943505155430157
0,2536,"Phases or progression related to processes or development, sometimes related to human activity or potential",0.2823,7177.0,0.015522865014856075,-0.5997193773383577
0,2536,"Locations, small items or things, and motion/movement",0.25925,7407.5,0.007413193253824095,-0.5875034526369853
0,12182,Products or items and their specifications or descriptions,0.8427999999999999,1572.0,2.179932009174991e-21,22.74489336754297
0,12182,"Home improvements, dental procedures, taxes, and savings accounts",1.0,0.0,1.3877072741394167e-41,31.976186891656102
0,12182,Brexit negotiations/deals,0.6855999999999999,3144.0,1.2990505019172153e-07,16.079663751473966
0,12182,"Themes of socioeconomic status, philosophy, religion, academic research, entertainment, politics, magic/occultism, surveys, physics, circumvention of geoblocking, software platforms, concepts of grace and blessings, biographies, virtual reality, and education",0.8427999999999999,1572.0,2.179932009174991e-21,18.97712274109529
0,12182,"Culinary creations, artistic endeavors, leisure activities, or product reviews",0.8427999999999999,1572.0,2.179932009174991e-21,18.74032506741215
0,6600,"Liquids, plants, or plant-based products",0.8557,1443.0,7.961470536467905e-06,0.3720114784755386
0,6600,"Flora, water, or animals, often in a habitat or natural environment",0.8554,1446.0,8.10278052054756e-06,0.37301695970900733
0,6600,"Industrial accidents, uncontrolled plant growth, or troublesome animals near bodies of water",0.8551,1449.0,8.246488869118647e-06,0.37071132917252364
0,6600,"Flora, ecosystems, natural resources, and fixed assets",0.8551,1449.0,8.246487542080872e-06,0.37189543312019313
0,6600,"Plants, specifically flowers, and also including food and their preparation",0.8574,1426.0,7.204155190919017e-06,0.37525446805737017
0,3740,"Themes of self-improvement, sales, and coaching, especially in relation to sports, business, or personal development",0.3285,6715.0,0.026850157464546477,-0.4352854357350677
0,3740,Locations or things encompassing the whole or the majority,0.3285,6715.0,0.026850157464546477,-0.4352854357350677
0,3740,"Inner thoughts, feelings, and experiences",0.3285,6715.0,0.026850157464546477,-0.4352854357350677
0,3740,"Professions, often legal or medical, and reflexive pronouns",0.3942,6058.0,0.17290494073790386,-0.37564457159766756
0,3740,"Legal professionals, pastors, coaches, hotels, everything, whole, and departures",0.3285,6715.0,0.026850157464546477,-0.4352854357350677
0,2818,"Equipment Coordination Professionals network actions, including changes to terms and conditions, service availability, and user registration requirements",0.34839999999999993,6516.0,0.0690863863470922,-0.3404526697547511
0,2818,"Actions related to food preparation, cosmetics or crafts, and activities involving exertion",0.27849999999999997,7215.0,0.00782987277607362,-0.4133122527462879
0,2818,"Actions, often religious ones, or written communication",0.27849999999999997,7215.0,0.00782987277607362,-0.4133122527462879
0,2818,"Types of lubricant, correspondence, action to take, reticles in microscopes, government and public announcements, types of train, bone and joint supplements, criminology and academic discourse, heart ventricles, parameters, chemical compounds, ophthalmologists, well drilling bits, aseptic processing, specialized commissioning, likelihood estimates, a type of grant, favela dwellers, accountancy, and hallucinations",0.4431999999999999,5568.0,0.4965311835428392,-0.2401166195050201
0,2818,"Actions, proper names, and publicized items",0.27849999999999997,7215.0,0.00782987277607362,-0.4133122527462879
0,13502,"Locations, people, events, products, and organizations",0.01150000000000001,9885.0,1.028550858604587e-07,-1.3023377352894454
0,13502,Proper nouns in different contexts,0.029849999999999995,9701.5,3.0285313052829145e-07,-1.2310158645853984
0,13502,"The concept of proper names of people, organizations, or locations appearing multiple times in the same text, especially in close proximity",0.13485,8651.5,6.958649796799312e-05,-0.9988580851313777
0,13502,"Luxury accommodations, food, or transportation, often with specific brands or names",0.0435,9565.0,6.594440777318759e-07,-1.19161923478773
0,13502,"Medical conditions, treatments, and professionals",0.06385,9361.5,2.0217466380482386e-06,-1.162744036344019
0,13988,End of text,0.5755,4245.0,0.3977936648502606,-0.32491555183859183
0,13988,End of text,0.5755,4245.0,0.3977936648502606,-0.32491555183859183
0,13988,End of text/document,0.5754,4246.0,0.3984193819374089,-0.32491534880682876
0,13988,End of text/input,0.5762,4238.0,0.39343025081087546,-0.3245273804865128
0,13988,End of text/short descriptions of items/products/services,0.5754,4246.0,0.3984193819374089,-0.3249246193821546
0,3681,Experiences or qualifications described as previous or earlier,0.02100000000000002,9790.0,1.8050483932221992e-07,-0.5117859774309336
0,3681,End of sequence tokens at the end of online advertisements or product descriptions,0.03240000000000002,9676.0,3.503925210205849e-07,-0.5016199521253701
0,3681,"End-of-sentence occurring after introductory contextual information, such as titles, descriptions, or lead-in phrases",0.026300000000000014,9737.0,2.46154356156583e-07,-0.5068560464257357
0,3681,End of sequence or a specific word following a very long sequence of empty lists,0.02100000000000002,9790.0,1.8050483932221992e-07,-0.5117859774309336
0,3681,End of sequence token activations,0.037700000000000025,9623.0,4.7442373329079835e-07,-0.50231471333388
0,13183,"Locations, proper nouns, and establishments related to hospitality, travel, and entertainment",0.7168,2832.0,0.018204826946387087,1.0300279230295943
0,13183,"Dishwashers, often the Whirlpool brand, or their components, sometimes clogged",0.4181,5819.0,0.3725371657912052,-0.3874328776925645
0,13183,"Fax services, kidney and bladder function, adjudication and legal jurisdictions, functional fitness, phone and computer interaction, software functionality, website functions, magic spells, medical leadership competency, comic and camera framing, construction diplomas, Skype functionality, VoIP functionalities, artisanal mining, and daycare competence",0.4416,5584.0,0.5249683487161609,-0.33820202411088673
0,13183,"Proper nouns in contexts of fantasy, media, politics, and academic disciplines",0.6936,3064.0,0.03497319864603088,0.5725724629002825
0,13183,"Fantasy elements, functions/routines, and kitchen/household appliances",0.4314,5686.0,0.4551652948575824,-0.3592279418919546
0,4554,"Duration of service/contract/agreement, or time period of a ban/study/investment, especially in relation to business, finance, legal or technical contexts",0.4447,5553.0,0.5369531435200985,-0.26581238277787606
0,4554,"Exclusivity, short durations, or small quantities, sometimes referring to locations with ""Spa"" in their name",0.30839999999999995,6916.0,0.0322331091675341,-0.4343457133531557
0,4554,"Exclusivity, limitations, or allowances",0.28955000000000003,7104.5,0.018685404030034977,-0.46067428950871236
0,4554,"Intelligence gathering, growing plants, placing objects, time periods, marijuana use, higher goals, something only happening once, running and the greeting ""hi"", being originally from somewhere",0.32370000000000004,6763.0,0.04888194433166821,-0.4313516949983084
0,4554,"Exclusivity, allowance, placement, increased quantity/quality, and artistic activities",0.6361000000000001,3639.0,0.12873427951302693,0.04873151610133926
0,14477,"Religious belief systems, dairy products, and feelings of excitement",0.2835,7165.0,0.008937096322677654,-0.48646951464007043
0,14477,"Food, specifically ingredients like dairy products, spices, and vegetables",0.5245,4755.0,0.7687979536587841,-0.30538099066473706
0,14477,France or French or religion or leverage or operating,0.31195,6880.5,0.02324033665307094,-0.4691626662529247
0,14477,"Nationalities, positive properties, and actions/states involving successful outcomes",0.2835,7165.0,0.008937096322677654,-0.48646951464007043
0,14477,"Proper nouns related to people, places, or organizations, and words semantically connected to feelings of excitement, liveliness, or having successfully completed a task",0.34779999999999994,6522.0,0.06641574929698105,-0.4245296361759297
0,16268,Discussions of religion or deities,0.267,7330.0,0.005728268040954558,-0.3712734805057247
0,16268,"End of sequence tokens, most frequently occurring at the end of short texts about products or reviews",0.267,7330.0,0.005728268040954558,-0.3712734805057247
0,16268,End of sequence tokens,0.267,7330.0,0.005728268040954558,-0.3712734805057247
0,16268,"Expression of personal experiences, facts, or opinions",0.267,7330.0,0.005728268040954558,-0.3712734805057247
0,16268,End of a text excerpt,0.267,7330.0,0.005728268040954558,-0.3712734805057247
0,10531,"Indefinite articles preceding nouns related to digital content, software components, business entities, financial instruments, and technical concepts",0.5839,4161.0,0.35274500639648776,-0.08015708201349668
0,10531,"Indefinite articles preceding nouns relating to formal official processes, communications, or legal and financial matters",0.42750000000000005,5725.0,0.4220116491531758,-0.3954328356859555
0,10531,"The indefinite article preceding a noun, often related to a role, title, profession, or singular item",0.7059,2941.0,0.022527257975028216,1.2656204912818578
