layer,unit,explanation,AUC,U1,p,MAD
0,8966,Retail business models,0.5,5000.0,1.0,0.0
0,8966,"The substring ""mer"" appearing as part of the word Bremerton, a city in Washington State",0.5,5000.0,1.0,0.0
0,8966,A musician or musical group's name,0.5,5000.0,1.0,0.0
0,8966,Occupations or roles related to water,0.5,5000.0,1.0,0.0
0,8966,"Publication details, often including author, title, date, and publisher/journal",0.5,5000.0,1.0,0.0
0,3358,"Items or products and their descriptions including specifications, materials, and uses",0.5,5000.0,1.0,0.0
0,3358,"IndyCar series or races, often with the word ""Indy"" highlighted",0.5,5000.0,1.0,0.0
0,3358,New service/product offerings or marketing/promotion of existing services/products,0.5,5000.0,1.0,0.0
0,3358,"Events or establishments, especially educational or recreational ones",0.5,5000.0,1.0,0.0
0,3358,"Discussions of computer hardware, food recipes, restaurant reviews, software updates, personal anecdotes, or customer service interactions",0.5,5000.0,1.0,0.0
0,32439,Commercial activity,0.5,5000.0,1.0,0.0
0,32439,Finance and economics,0.5,5000.0,1.0,0.0
0,32439,"Creation, generation, production, or design",0.5,5000.0,1.0,0.0
0,32439,"Content related to the Wordpress platform, possibly focusing on its usage, features, and user groups",0.5,5000.0,1.0,0.0
0,32439,"Food, specifically butternut squash, savory dishes, and fashion designers",0.5,5000.0,1.0,0.0
0,14315,"Visual art, including creating drawings, displaying them in a room, and showcasing them in exhibitions",0.5,5000.0,1.0,0.0
0,14315,"Events like meetings, conferences, exhibitions, and presentations",0.5,5000.0,1.0,0.0
0,14315,"Events, particularly conferences and exhibitions, and their related activities, like presentations or drawing board displays",0.5,5000.0,1.0,0.0
0,14315,"Formal gatherings, often related to government or business, such as meetings, conferences, and hearings",0.5,5000.0,1.0,0.0
0,14315,"Formal or informal gatherings, including conferences, meetings, exhibitions, hearings, presentations and exhibits",0.5,5000.0,1.0,0.0
0,259,Screen resolution or magnification,0.5,5000.0,1.0,0.0
0,259,Diseases and negative attributes,0.5,5000.0,1.0,0.0
0,259,Medical studies of the effects of various factors or substances on different types of cancer,0.5,5000.0,1.0,0.0
0,259,"Medical conditions, particularly a specific type of disease",0.5,5000.0,1.0,0.0
0,259,"Diseases, medical conditions, or health issues",0.5,5000.0,1.0,0.0
0,18124,Locations or establishments and their descriptions or attributes,0.492,5080.0,0.6888095932481814,-0.10035649419742493
0,18124,"Website/software development, marketing, and financial services/products",0.492,5080.0,0.6888095932481814,-0.10035649419742493
0,18124,"Attributes of products related to materials, sizes/dimensions, and/or color",0.492,5080.0,0.6888095932481814,-0.10035649419742493
0,18124,"Culinary experiences, including cooking, eating, and describing food and meals",0.492,5080.0,0.6888095932481814,-0.10035649419742493
0,18124,"Religious texts, specifically the Gospels, and their historical and societal context",0.492,5080.0,0.6888095932481814,-0.10035649419742493
0,5369,"Educational credentials, qualifications or level of skill",0.5,5000.0,1.0,0.0
0,5369,"Academic degrees, especially at the graduate level",0.5,5000.0,1.0,0.0
0,5369,"Academic degrees (master's, bachelor's, PhD)",0.5,5000.0,1.0,0.0
0,5369,"Academic degrees, primarily Master's degrees, sometimes Bachelor's or PhDs, and occasionally the general concept of academic degrees",0.5,5000.0,1.0,0.0
0,5369,"Academic degrees, prestigious tournaments, luxury accommodations, skilled professionals, or exceptional experiences",0.5,5000.0,1.0,0.0
0,2236,Number of days remaining in a year after Sundays are subtracted,0.53035,4696.5,0.33988680111014935,0.277960459391044
0,2236,"Clothing, accessories, or cosmetic products with descriptions of their materials, features, or benefits",0.4795,5205.0,0.5146497754465963,-0.19126188615891201
0,2236,Dietary restrictions or medical conditions,0.4795,5205.0,0.5146497754465963,-0.19126188615891201
0,2236,"Disagreement, a type of insect, sporting event entry passes, or medical condition",0.4795,5205.0,0.5146497754465963,-0.19126188615891201
0,2236,"Political and social advocacy, particularly lobbying efforts and objections to policies related to women's health or religious freedom",0.4795,5205.0,0.5146497754465963,-0.19126188615891201
0,13767,"Events, classes, or establishments with schedules, times, dates, costs, or locations",0.5,5000.0,1.0,0.0
0,13767,Strong opinions or demands,0.5,5000.0,1.0,0.0
0,13767,"Website/software features, functionalities, services, and businesses, especially related to online businesses, e-commerce, or website development",0.5,5000.0,1.0,0.0
0,13767,"A discussion of product features or specifications, often in a comparative context",0.5,5000.0,1.0,0.0
0,13767,Negative customer feedback about products,0.5,5000.0,1.0,0.0
0,9661,Data/internet service plan offerings,0.5,5000.0,1.0,0.0
0,9661,Business competitors/competition,0.5,5000.0,1.0,0.0
0,9661,Competition between entities/products,0.5,5000.0,1.0,0.0
0,9661,Competitors/competition,0.5,5000.0,1.0,0.0
0,9661,"Tropical drinks, Alaskan rivers, or cooking",0.5,5000.0,1.0,0.0
0,10917,"Places of social gathering or consumption, often related to intoxication or close relationships",0.5,5000.0,1.0,0.0
0,10917,Alcoholic beverages and mixed drinks,0.5,5000.0,1.0,0.0
0,10917,"Themes of close relationships, entertainment, and places where social interaction occurs",0.5,5000.0,1.0,0.0
