layer,unit,cosine_similarity,cosine_similarity_random,max_auc,max_mad
0,823,0.4552064508199692,0.44257715046405793,0.9276,1.7482515916744124
0,1997,0.4138308823108673,0.3733783230185509,0.9983,6.258576387656727
0,2395,0.4155025392770767,0.36180331110954284,1.0,4.577533675274222
0,3016,0.4817000091075897,0.3759618937969208,0.2455,-0.7319400683170354
0,3887,0.4536352097988129,0.3434557855129242,0.5945,0.3080046349363008
0,5359,0.4154354125261307,0.3812374800443649,0.1126,-1.191915145532592
0,5716,0.41471465229988097,0.32492325752973555,0.7952,0.971866389115081
0,6179,0.4117707580327988,0.30637878775596616,0.7434,0.6254311757814551
0,7117,0.3411682903766632,0.3653514370322227,0.9305,1.607596337490269
0,7181,0.3886795163154602,0.29728653132915495,0.8921,1.6020233019380068
0,8039,0.3440550327301025,0.4323142677545547,0.9972,1.461984584807566
0,9782,0.31438771039247515,0.3578341692686081,0.9837,3.853554414092643
0,9811,0.422881081700325,0.39059772789478303,0.8339,0.7904013462784222
0,10081,0.428474485874176,0.40525510609149934,0.6531,0.3607434439934268
0,10095,0.6513566195964813,0.3233900278806686,0.9998,16.018698352019264
0,10609,0.35758347511291505,0.39992775917053225,0.6322,0.376536514244931
0,10851,0.3676911503076553,0.365969842672348,0.6926,0.5371772722598562
0,12733,0.4112074255943298,0.49397778809070586,0.9975,3.8761487951604
0,12865,0.4342090278863907,0.42606872618198394,0.9776,2.558146317356116
0,13480,0.33459414839744567,0.3432170957326889,0.2546,-0.8645332572589596
20,99,0.41613440215587616,0.3368161663413048,0.8694000000000001,1.1867860875527143
20,3032,0.42103196680545807,0.3642981931567192,0.8419,1.1336225824186663
20,3740,0.4448603242635727,0.43278768062591555,0.8047,1.2626410329364122
20,5188,0.38520191311836244,0.4105727285146713,0.7876000000000001,0.6609821584597859
20,5424,0.3772653788328171,0.42055273354053496,0.9992,3.062058540206746
20,5733,0.35057041347026824,0.3915856510400772,0.5121,0.0843768758685808
20,7860,0.38241085410118103,0.29117623865604403,0.9497,3.1997809436908224
20,8256,0.3216956526041031,0.3709522277116776,0.0206,-2.105771988195737
20,8476,0.2864051327109337,0.40921893119812014,0.6133,0.3192387578997732
20,8552,0.36659374833106995,0.39233167469501495,0.9895,3.209105570649668
20,8631,0.434967902302742,0.3907757967710495,0.8826,1.3081261779576696
20,8876,0.4436322540044785,0.364777147769928,0.9679,1.9722720748750333
20,9836,0.3665279358625412,0.36578023731708526,0.5125,0.0224816337977458
20,10046,0.3565505713224411,0.36855174601078033,0.9415,1.6117141196921951
20,10182,0.44330948293209077,0.4527026355266571,0.6067,0.3375970697804438
20,10617,0.389052140712738,0.3549841955304146,0.9833,2.216262325948458
20,10765,0.30828622728586197,0.4106273025274277,0.5034000000000001,0.071521429074598
20,11587,0.41042958199977875,0.40351266264915464,0.8655999999999999,1.2501113478540156
20,11626,0.3933429092168808,0.4048240423202515,0.7634000000000001,0.6828672922784815
20,12784,0.40589724779129027,0.39844239354133604,0.8799,1.359811236783848
30,46,0.41004734933376313,0.382427516579628,0.0227,-2.1366353045341846
30,129,0.4216205716133118,0.32478314489126203,0.613,0.1699586286436049
30,557,0.3526594087481499,0.2901661679148674,0.8777999999999999,1.133871302002739
30,715,0.41434070765972136,0.42463737428188325,0.7486999999999999,0.630973270862402
30,738,0.3116618305444717,0.3715305030345917,0.121,-1.2945807989470497
30,1721,0.40925603955984113,0.3835904270410538,0.8732,1.8886930943194329
30,1911,0.40563862323760985,0.388540318608284,0.8068000000000001,0.8591132931001098
30,2324,0.3543755725026131,0.3951878160238266,0.0425,-2.648554842671069
30,2589,0.474644210934639,0.4335218220949173,0.0945,-1.3802672397746254
30,3461,0.3342645764350891,0.3052229702472687,0.4775,-0.0274281056413258
30,3828,0.37677285075187683,0.40282409489154813,0.3615,-0.3774854000494512
30,4971,0.3473145753145218,0.3085019767284393,0.8389,1.088997010559896
30,5245,0.34253466576337815,0.3231848418712616,0.937,1.551887163725662
30,6472,0.4029491424560547,0.3597078323364258,0.9944,3.8093005412986263
30,6892,0.34047566950321195,0.3885956585407257,0.6063000000000001,0.5059188931368823
30,9947,0.3780195087194443,0.4344258695840836,0.5525,0.1353837567703092
30,10713,0.34500724673271177,0.40824054479599,0.7194,0.5372892975832948
30,12035,0.3064362868666649,0.3414284810423851,0.9273,1.706389510639348
30,14030,0.35102438032627103,0.41231784522533416,0.3226,-0.3308943341921714
30,14157,0.3958927407860756,0.2980421781539917,0.8609,1.284693078990282
