layer,unit,cosine_similarity,cosine_similarity_random,max_auc,max_mad
0,259,0.4890769362449646,0.3671297445893288,0.5,0.0
0,2002,0.3049365967512131,0.34034101366996766,0.54305,0.2536145883724486
0,2236,0.3280683681368828,0.43499896824359896,0.53035,0.277960459391044
0,2332,0.4709556668996811,0.3957599580287933,0.5,0.0
0,3358,0.41170780062675477,0.35633909702301025,0.5,0.0
0,5369,0.6633198082447052,0.31998239159584047,0.5,0.0
0,8966,0.2961381196975708,0.40405796766281127,0.5,0.0
0,9661,0.44754242300987246,0.3199245795607567,0.5,0.0
0,10233,0.5752274811267852,0.39084590375423434,0.5,0.0
0,10917,0.5653324156999588,0.3584002837538719,0.5,0.0
0,13767,0.3882528871297836,0.41046368777751924,0.5,0.0
0,14315,0.6632695287466049,0.37158736288547517,0.5,0.0
0,16192,0.38128556311130524,0.44117696285247804,0.5,0.0
0,18124,0.3758348822593689,0.3595671057701111,0.492,-0.1003564941974249
0,28565,0.4820382624864578,0.41880319714546205,0.5,0.0
0,28810,0.30080733448266983,0.43763172030448916,0.5,0.0
0,29332,0.36577793657779695,0.39945400059223174,0.6562,0.7026121708837503
0,29707,0.4001960575580597,0.43383034467697146,0.5,0.0
0,32439,0.38013906180858614,0.42651868164539336,0.5,0.0
5,288,0.3859483689069748,0.3818964630365372,0.5854999999999999,0.6562568613286717
5,330,0.9083105027675629,0.3056539386510849,0.4995,-0.0316227787433507
5,966,0.4456993877887726,0.4019094049930573,0.5,0.0
5,7238,0.3158099755644798,0.34550008475780486,0.5,0.0
5,16103,0.5010596573352813,0.48078017830848696,0.5,0.0
5,16512,0.5062510371208191,0.3704922378063202,0.495,-0.0964033813557167
5,16554,0.449400532245636,0.2986241102218628,0.4835,-0.1487915340019787
5,16845,0.3300758019089699,0.3266986057162285,0.5983999999999999,0.9043896865995156
5,17724,0.46645070910453795,0.3536544144153595,0.4995,-0.0316227774736416
5,17855,0.5487399876117707,0.3034827098250389,0.5,0.0
5,22011,0.43851880431175233,0.37907291054725645,0.4705,-0.2318734286253843
5,24156,0.6218074917793274,0.3458128392696381,0.4975,-0.0598103408193648
5,25929,0.46958702206611636,0.3170532137155533,0.7412000000000001,0.3872175583708525
5,26939,0.5333872109651565,0.44586004614830016,0.5428,-0.0333795771785537
5,28227,0.6206664860248565,0.3685830861330032,0.499,-0.0425372135134792
5,28452,0.5261562049388886,0.3697128057479858,0.4815,-0.1561311010627397
5,28636,0.34698559492826464,0.42118769586086274,0.4775,-0.2015377080197431
5,30319,0.33774150013923643,0.39206981360912324,0.4835,-0.1250618927785051
5,31286,0.7585168778896332,0.41607746183872224,0.5,0.0
5,32177,0.6415524542331695,0.3873685300350189,0.5235,-0.0518677985066198
10,900,0.3966056048870087,0.38672841191291807,1.0,320.9611250724534
10,1319,0.3968784585595131,0.3036916568875313,0.4995,-0.0316227765621593
10,1690,0.4992625951766968,0.40979298055171964,0.8684999999999999,1.5126045808354174
10,4369,0.471230748295784,0.5795456767082214,0.9962,9.466067327994212
10,5239,0.5079316735267639,0.32108979374170304,0.6884,1.8069653630160247
10,8624,0.3964457273483276,0.45876180827617646,0.4995,-0.0316227785946064
10,8757,0.4925576239824295,0.42076425850391386,0.4665,-0.1801713956994899
10,9242,0.4381781846284866,0.3398978263139725,0.4975,-0.0646286308698957
10,9814,0.7371424555778503,0.3564867123961449,0.4685,-0.2259370384898681
10,9896,0.6562318682670594,0.36713422536849977,0.8371,0.7081612197691388
10,10235,0.31997655630111693,0.3873849868774414,0.4955,-0.0889391556711712
10,14924,0.5877939999103546,0.34616488218307495,0.53605,0.3427154142048223
10,15235,0.554602426290512,0.3275028944015503,0.8217,1.0738069925842544
10,15562,0.6354271054267884,0.36701991856098176,0.9954,6.510489744196046
10,17243,0.5368484824895858,0.30864729583263395,0.5304000000000001,0.0476364894384269
10,20265,0.3778887540102005,0.39441349506378176,0.9971,10.797916888793424
10,21878,0.33985426723957063,0.38934279084205625,0.5,0.0
10,24347,0.5726675063371658,0.39493844509124754,0.8193,0.5868501862603618
10,27166,0.41959547996520996,0.34803342521190644,0.4955,-0.0912153017110583
10,27300,0.7353119552135468,0.3226559072732925,0.5801000000000001,-0.10946841460653
