layer,unit,cosine_similarity,cosine_similarity_random,max_auc,max_mad
0,440,0.46046206057071687,0.38480898439884187,0.1022,-1.3884687182496416
0,1149,0.6624007850885392,0.3408570021390915,0.651,0.52172785235702
0,1749,0.4433081328868866,0.41410057842731474,0.6586000000000001,0.4162457616619316
0,2725,0.48270184397697447,0.4026223450899124,0.9717,2.3010789429166048
0,3057,0.4657463401556015,0.3965921729803085,0.8348,0.907472726473246
0,3124,0.35668286085128786,0.39244275987148286,0.9996,17.50948102382977
0,3279,0.3882260054349899,0.4270384132862091,0.9124,1.5237261288718391
0,3533,0.4977072298526764,0.39640442132949827,0.9871,3.614958707949204
0,3696,0.41826118528842926,0.3995761126279831,0.1516999999999999,-0.9031074506796206
0,3943,0.396756711602211,0.4700004577636719,0.9996,4.550049724855798
0,4297,0.4001542657613754,0.4621699512004852,0.9973,7.927175916061388
0,4405,0.38565238416194914,0.44220843017101286,0.6707,0.2724475421355527
0,4679,0.558119261264801,0.4407318592071533,0.9944,5.635823489822864
0,4842,0.4960417151451111,0.36044595539569857,0.8326,0.9109054335763996
0,5085,0.45965930819511414,0.4762953966856003,0.5608,0.5123447513497538
0,5551,0.428633376955986,0.38081404864788054,0.9979,11.770021588373492
0,5781,0.49306424856185915,0.42556720077991483,0.8194000000000001,1.6729261956661912
0,5960,0.4094227761030197,0.43149673640728,0.9772,2.424045910712797
0,6114,0.49857865571975707,0.4282795459032059,0.9803,2.9237873011946127
0,6314,0.5849719047546387,0.39162944853305814,0.9551,2.0140677566225507
20,328,0.4671721369028091,0.4188674807548523,0.9997,5.532383104687892
20,1004,0.5415551096200943,0.4043112635612488,0.997,5.205640894749123
20,1406,0.4345379680395126,0.460859090089798,0.9997,5.393347701071357
20,1424,0.4769747227430344,0.393412783741951,0.9926,4.075187124533701
20,1790,0.5529636263847351,0.369746658205986,0.9966,3.4853699133336846
20,2325,0.4174911618232727,0.4694887071847916,0.9918,3.368984077607218
20,2679,0.5323140293359756,0.3331631928682327,0.9916,4.697463041241311
20,2700,0.5273496359586716,0.3788716018199921,1.0,6.445503391399962
20,2869,0.43182770609855653,0.464729031920433,0.997,4.89920917995661
20,2988,0.4364574998617172,0.4937293380498886,0.8099,0.8105546138581577
20,3313,0.6096826583147049,0.3970973491668701,0.9924,4.796928292642067
20,3885,0.42472049593925476,0.3957527756690979,0.9842,3.796903626697707
20,4268,0.6375950932502746,0.4251463294029236,0.9869,3.71781215924282
20,4447,0.4840977221727371,0.3933847457170486,0.9975,6.534935194347782
20,4683,0.3857800096273422,0.3722428411245346,0.8271,0.976590563390916
20,5278,0.3922941341996193,0.4139052450656891,0.9984,5.256483381101315
20,5662,0.4469329625368118,0.33825367838144305,0.9966,4.796405804333967
20,5741,0.43478345274925234,0.34824168831110003,0.9888,3.978484837958943
20,5789,0.5839595556259155,0.4412609159946442,0.9973,5.550251691933254
20,6045,0.4554267317056656,0.3745538741350174,0.8063,0.9888360410190868
40,183,0.46024815142154696,0.38123747110366824,0.9315,1.5040624916603162
40,364,0.453070330619812,0.3908426821231842,0.9707,2.972212516662652
40,556,0.44421998262405393,0.4605404853820801,0.7623,0.803221842439457
40,824,0.35709254145622255,0.3575644701719284,0.9863,3.8264485286438
40,1516,0.4425690591335297,0.38489813804626466,0.7783,0.9647575376979964
40,1555,0.4799207538366318,0.48612843453884125,0.9574,1.9069687740310384
40,1823,0.3576840966939926,0.44554985463619234,0.7872,0.6540732670337354
40,3254,0.37487965226173403,0.45570065677165983,0.0125,-3.11823379356123
40,3515,0.4382721304893494,0.3556344538927078,0.1628,-1.1530256467426088
40,3612,0.44873137176036837,0.39554755091667176,0.9121,1.872679508313617
40,3636,0.42896086573600767,0.3426126718521118,0.6769000000000001,0.4885269587106114
40,3948,0.4440946638584137,0.47780331075191496,0.984,3.809527603480296
40,4055,0.3493856728076935,0.4937832593917847,0.9772,3.160600090063997
40,4244,0.468277370929718,0.41947501003742216,0.8681000000000001,0.9382666215341668
40,4808,0.43217345476150515,0.35564730167388914,0.9754,3.341460818779812
40,4965,0.4842586249113083,0.4283695876598358,0.9835,2.903001810656421
40,5557,0.41026523113250735,0.3766415059566498,0.8803000000000001,1.0630081565608762
40,6067,0.4083709537982941,0.42358810603618624,0.9905,4.333665961863622
40,6106,0.42524324357509613,0.3840795874595642,0.7733,1.3034439879930324
40,6364,0.45168042182922363,0.4095552682876587,0.0402,-1.98713139323441
