layer,unit,explanation,AUC,U1,p,MAD
0,6314,"Infants, food, and crafting",0.8664000000000001,1336.0,6.572006675474514e-05,0.9653112031694235
0,6314,Personal updates,0.9067999999999999,932.0,9.361590339953266e-06,1.3583840382872292
0,6314,New product or service offerings or introductions,0.8724000000000001,1276.0,4.97838560178388e-05,1.3653990032594991
0,6314,"Locations, events, or items of interest",0.8277,1723.0,0.0003574631876374398,0.769734317319261
0,6314,"Possession, ability, original or replacement items, or description of an item",0.8520000000000001,1480.0,0.00012587750157707478,1.3785174760382688
0,2725,"Numerical or quantitative values, including years, measurements, and counts, in advert-like text excerpts",0.9076,924.0,8.990345476331869e-06,1.5354974114121858
0,2725,"Expressions of gratitude, current time references, or positive descriptions",0.9040999999999999,959.0,1.0725696500731003e-05,1.451710292099069
0,2725,"Temporal references like ""early"", ""nowadays"", ""recent"", ""this"", ""next"", ""on"", ""new"", ""continuing"",  and years or months, often appearing at the beginning of the text",0.9440000000000001,560.0,1.3201277301369022e-06,1.8001032450776258
0,2725,"Positive feedback, thanks, or compliments",0.9714,286.0,2.8182297844246965e-07,2.4138202875068595
0,2725,"Temporal markers like dates, months, years, and words related to newness, gratitude, or positive sentiment",0.7825,2175.0,0.0020895057816985784,0.7855927680830199
0,4297,"Numbers, abbreviations, and alphanumeric codes related to product specifications, model numbers, dates, times, and software versions",0.8791,1209.0,3.633414347993078e-05,0.5254185181217701
0,4297,"Instances of first times, including first experiences, first time events, and first time occurrences",0.8838999999999999,1161.0,2.8904703679428582e-05,0.5939809088654856
0,4297,"Requests or commands, and places or locations",0.908,920.0,8.81003987882254e-06,0.75001034520651
0,4297,"A first time experience, often with an element of surprise or anticipation",0.9021,979.0,1.1856400527371531e-05,0.724273173448743
0,4297,"Short, informal text excerpts with punctuation marks, sometimes expressing excitement",0.8956000000000001,1044.0,1.637007979684518e-05,0.6945511026075346
0,4842,"Years or specific dates related to events, organizations, or legal cases",0.027800000000000012,9722.0,2.6905000039792935e-07,-1.3557431202131107
0,4842,"Possessive pronouns, conjunctions, prepositions, or the word ""all""",0.06359999999999999,9364.0,1.995299336616442e-06,-1.2296065252237347
0,4842,"Totality, wholeness, completeness, or entirety",0.1257,8743.0,4.5553991525246086e-05,-1.0168969487209631
0,4842,"Quantifiers, negation, and proper nouns",0.19619999999999999,8038.0,0.0009354180047787996,-0.8701969811234189
0,4842,"A key concept, or a negation of a concept, within a specific context or group",0.1608,8392.0,0.00021994257613822642,-0.9756379412683984
