layer,unit,explanation,AUC,U1,p,MAD
0,6314,"Nouns, often modified by adjectives, related to characteristics, qualities, classifications, or descriptions of things",0.8409000000000001,1591.0,0.0002044476013567311,0.7643147037948823
0,6314,"Events, entertainment, or commercial offerings with pricing, discounts, or special offers",0.9106000000000001,894.0,7.719594344099662e-06,2.0000809279923972
0,6314,"Music, albums, and artists",0.8754000000000001,1246.0,4.326331735330052e-05,1.037464310491621
0,6314,"Fitness, clothing, routines, superstitions, events, meals, music, habits, lifestyle, numbers, times, athletes, colors",0.9546,454.0,7.338544546029721e-07,2.192718183638274
0,6314,"Travel, flights, tickets, airport, price, hotel, email, social media, vintage clothing, music, motion, camera, pastor, hospital, family, meeting, brown, blue, cassette, workflow, sports, names, teams, research, fellows, collaboration, pyramids, colored, real estate, attractions, empowerment, lifeskill, citizenship, recipes, juices, acquisition, retailers, personalized, ornament, exceptional, door, lock, times, weekend, fitness, cocktail, restaurant, food, invoice, home cinema, calibration",0.975,250.0,2.2860165265890556e-07,2.7505069113937193
0,2725,Stanford CoreNLP and Natural Language Processing software,0.9605,395.0,5.263169376880441e-07,2.102698841083225
0,2725,Acquisition of something beneficial,0.9333,667.0,2.3569828691461975e-06,1.8252012885012514
0,2725,Commercial transactions/purchases,0.9243999999999999,756.0,3.779316189680548e-06,1.8614111714258936
0,2725,"Duration, quantity, or size related terms in contexts of personal care, possessions, or hobbies",0.9559000000000001,441.0,6.82260585229791e-07,1.975150428815805
0,2725,"Victories, achievements, positive outcomes, or something received",0.9606999999999999,393.0,5.203832205708478e-07,2.1517826709558587
0,4297,"Financial or economic situations, future events, interrogations, rentals or leases, live events or performances, and installments or parts of a series",0.9212,788.0,4.468691434991117e-06,1.0125006262972065
0,4297,"Events, especially annual or recurring ones",0.9125,875.0,7.005654824035845e-06,0.8110509995809793
0,4297,"Nouns related to abstract concepts, often with a descriptive adjective preceeding it",0.8862,1138.0,2.5879897199481376e-05,0.6208167468734871
0,4297,"Temporal spans, often related to business, rental, or financial transactions",0.9121,879.0,7.150499566031616e-06,0.8621900413904
0,4297,"Events, funds, and decades, sometimes related to amounts or time periods",0.9265,735.0,3.3836357347912706e-06,1.0464588597465514
0,4842,"Entities related to locations, people, companies, data structures, software programs, programming languages, data analysis, and algorithms",0.4968,5032.0,0.9726233427210386,-0.14911545597137113
0,4842,"Names of people, locations, organizations, products or brands",0.1861,8139.0,0.0006278251739760794,-0.9341757015991903
0,4842,"Personal names in the context of sports, music, or professional activities",0.07079999999999999,9292.0,2.932982702925581e-06,-1.2923748132557586
0,4842,"Client services, often related to beauty, fitness, or home improvement, and sometimes mentioning specific locations or brands",0.5307,4693.0,0.7384381331345287,-0.015519127485024617
0,4842,"Titles of people, places, or organizations",0.10500000000000001,8950.0,1.68607793446968e-05,-1.0915842506860431
0,5551,"Concepts related to places, organizations, and people, often with a focus on quantities/numbers relating to them",0.028800000000000006,9712.0,2.851065911726855e-07,-1.04104486107957
0,5551,"Sports game results, or instances of specific numbers in certain contexts",0.03800000000000001,9620.0,4.83357268168149e-07,-1.0438374556985612
0,5551,"Proper nouns related to organizations, locations, people, and creative works",0.0864,9136.0,6.621659208602536e-06,-0.8730016681351664
0,5551,"Locations, times, or proper nouns inside specific texts",0.1185,8815.0,3.2417808364006766e-05,-0.8160666728314226
0,5551,"Financial transactions, including payments, invoices, funds, donations, and accounts",0.15940000000000001,8406.0,0.000207105299126209,-0.7808771128921045
0,1749,"Locations, proper nouns related to sports teams, schools, or people, and specific numerical values like dollar amounts or years",0.029900000000000013,9701.0,3.038374269923775e-07,-2.079877301986108
0,1749,"Financial products or services, or collectible items",0.01020000000000001,9898.0,9.518898732039492e-08,-2.5193226459923848
0,1749,"Proper names of people, places, organizations, or products in contexts related to sports, locations, software, or legal cases",0.15390000000000004,8461.0,0.00016317630846841974,-1.2911656819809665
0,1749,"A discussion of music, movies, books, or fitness combined with a specific proper noun or number",0.05620000000000003,9438.0,1.3346691258096826e-06,-1.7133166265488078
