layer,unit,explanation,AUC,U1,p,MAD
0,6314,Part-time managerial positions and their possibilities,0.7462,2538.0,0.007324277019164846,0.3918295279720372
0,6314,"Features and functionalities of Android M related to app linking, battery optimization, USB type-C charging, fingerprint unlocking, NFC payments, internet connectivity improvements, and app permissions",0.9805999999999999,194.0,1.645875604925738e-07,3.0539796490965263
0,6314,"Bridal showers, a TV show about sisters navigating challenges in Los Angeles, tropical cocktails, home decor, fashionable window blinds, electronic speed controllers in remote-controlled cars, and decorative book boxes",0.9460000000000001,540.0,1.1828504797692516e-06,1.755542154630185
0,6314,"A person, place, concept, or thing, followed by information, details, characteristics, or other related data",0.7755,2245.0,0.002691444803050509,0.5575362987288804
0,6314,"Themes described as black and generally liked, but potentially boring, contrasted with green streaks or icons and light",0.8896999999999999,1103.0,2.1847880586884243e-05,1.1328291333538842
0,2725,"Concepts of cell cycle synchronization, cell growth inhibition, and proliferation restriction, OR car renting benefits, optimal capital allocation, and vehicle wear, OR effects of water damage and its impact (including mold presence/absence) on different parts of a house, OR discussion of Haemophilus influenzae type B (Hib) vaccination shortages, potential weakening of herd immunity, and necessity of timely/adequate vaccination, OR unplanned cesarean birth experiences in African American women, including psychosocial stressors, need for anticipatory guidance, and descriptive phenomenological analysis methods, OR room amenities and accessibility within a care facility, including adjustable beds, furniture options, and proximity to common areas",0.9537000000000001,463.0,7.717538724649807e-07,1.998449479574727
0,2725,"New England's bordering regions, frequent perilous Mayflower voyages, defeat of Algonquin allies, British imposing taxes without consent, British response to Boston Tea Party with punitive measures deemed intolerable, and the worn peaks of the Appalachian Mountains",0.9769999999999999,230.0,2.0337673668514296e-07,2.419466743700885
0,2725,Clothing features or expressing gratitude for a program and accomplishments since graduation or corruption,0.9406,594.0,1.5893717397823055e-06,1.7796296019967646
0,2725,Key aspects of the Volkswagen Atlas interior,0.8314,1686.0,0.0003062478545720501,0.9241339811942394
0,2725,"Accessibility, responsiveness, reliability in online seminars or scalability and low latency in streaming services",0.954,460.0,7.589159401533403e-07,1.9876183030486136
0,4297,"Time, compatibility, looking forward to something, possessive indicator, swimming pool, damage from disasters, and first person pronoun",0.9036,964.0,1.0998308422929947e-05,0.7267838939016896
0,4297,"Financial planning, including retirement planning, investments, pensions, taxation, and protection, for wealthy individuals by an IFA, asset/wealth manager, or paraplanner",0.9961,39.0,6.50572312903225e-08,7.172441561284738
0,4297,"Employee stock options, tax benefits, or energy saving strategies",0.9664999999999999,335.0,3.73815667661376e-07,2.0768671382414254
0,4297,"Discussions of anxiety, uncertainty, and social interactions, or research and perspectives on a particular topic",0.9184,816.0,5.169337545419243e-06,0.9130082488262047
0,4297,Hotel or wine descriptions,0.9189,811.0,5.036953697823791e-06,0.8547694699711897
0,4842,"Brands, products, or organizations related to cars, teams, games, or card games",0.23049999999999998,7695.0,0.0033292973582733673,-0.7896679178411362
0,4842,"Guitar modifications, online discussions, Classic Vibe guitars, Gotoh MG tuners, and vintage style",0.2763,7237.0,0.014826136632650831,-0.6753603697894414
0,4842,"Hair care, autism, team growth, online discussions, or real estate",0.16860000000000003,8314.0,0.0003062478545720501,-0.9396235436816646
0,4842,"Office design featuring geometric themes, brand colors, furniture, glass, fabric, acrylic elements, and a cohesive design",0.2032,7968.0,0.0012249734485668493,-0.8253116944190354
0,4842,"Discussions of programming, books, or online resources related to programming, or discussions about druids or druidry",0.5058,4942.0,0.9500495996918441,-0.15225892429582008
0,5551,Instructions to import from Google Reader,0.06110000000000001,9389.0,1.7430690423392723e-06,-0.9237611977116231
0,5551,Questions about combinatorics,0.03280000000000001,9672.0,3.5909140380127917e-07,-0.9907192099482433
0,5551,"United Nations Security Council actions, processes, and members",0.9971,29.0,6.121758199063496e-08,9.75246238962271
0,5551,No significant patterns detected,0.11240000000000001,8876.0,2.4188769698900573e-05,-0.9247455229234326
0,5551,"Renters, eviction judgments, rates, US locations, country, ripped, smoke-free housing, jurisdictions, African-Americans, heads of organizations, national undercount",0.07110000000000001,9289.0,2.9800565244537436e-06,-0.9973957335861547
0,1749,"Discussions of solar energy, certifications, or Microsoft Exchange server edge transport removal",0.018600000000000005,9814.0,1.569950173824799e-07,-2.309865009093295
0,1749,"A person's writing reaching a million people in print, their book being adopted, and their mentorship/leadership roles",0.04580000000000002,9542.0,7.504718756745765e-07,-1.9017943292369188
0,1749,Weight measurements in birth announcements,0.03180000000000001,9682.0,3.390240073992266e-07,-2.1805377226819336
0,1749,iPhones replacing remote controls or food and beverages,0.014700000000000013,9853.0,1.245764188216172e-07,-2.3661851107817027
0,1749,"Discussions about replacing or retrofitting parts, especially related to guitars",0.007500000000000007,9925.0,8.09078951042024e-08,-2.632176295481206
0,3943,"Relevance, improvement, refreshments, person named Kel, university affiliations, recentness, routine, management, quarterly publications, em dashes, honorifics, eliciting, revisions, accompaniment, conditional circumstances, downsides, being under something, and providing feedback",0.9864999999999999,135.0,1.1597786710221205e-07,3.0451208462227166
0,3943,"Clothing, emotions, or renovation and improvement of public places",0.9507,493.0,9.121864381039605e-07,2.1245080203901554
0,3943,"Sales or promotions through Amazon, or insurance comparison websites",0.9528,472.0,8.115351541197243e-07,2.073462558665897
0,3943,"Balance, inspiration, wisdom, and acrylic material",0.9825,175.0,1.4710614385898046e-07,2.75333851873293
0,3943,Sources of property damage,0.9550000000000001,450.0,7.175918116774102e-07,2.0181299249841933
0,5960,"Augers, screws, conveying, or people and stories",0.9675999999999999,324.0,3.509305493552499e-07,2.3904676371798446
0,5960,News report about the creation of a Chess Party by the International Chess Federation president Kirsan Ilyumzhinov,0.8998999999999999,1001.0,1.3231359052756503e-05,1.2477401683689664
0,5960,Car features or bachelor's degrees,0.8573999999999999,1426.0,9.892278264623195e-05,1.0487610635194229
0,5960,"Overpayment scams involving a purchased item, an unexpected problem, depositing a check, and resolving or handling the issue",0.808,1920.0,0.0007935893602631896,0.7712403032554597
0,5960,"Infrared transmitters, replacing remotes, snapping on adapters, universal remotes, tactile pressing, and something being freak",0.9459000000000001,541.0,1.189375215483929e-06,1.7164144395762941
0,3696,"Skin conditions, melanin synthesis, cosmetics, or Blackberry devices",0.03360000000000001,9664.0,3.759661253058211e-07,-1.254601910360904
0,3696,Ingredients for an Amish Broccoli Cauliflower Salad,0.2535,7465.0,0.007253037280351607,-0.7048349128297396
0,3696,"Space launch viewing locations, specifically Cape Canaveral, and the subsequent tips and advice",0.01050000000000001,9895.0,9.69188308524015e-08,-1.31859798029098
0,3696,"A colon following the phrase ""built around you""",0.028800000000000013,9712.0,2.851065911726855e-07,-1.2064594040867795
0,3696,Social or political change and symbolic objects,0.16149999999999998,8385.0,0.00022663785875820516,-0.8836254597446305
0,3533,"Containers, autumnal foods, baked goods, home decor, legal cases, file archives, numerical values related to time or quantity",0.7369999999999999,2630.0,0.009837262008621008,0.6587230424594708
0,3533,"Information about theatrical productions, including the production name, staff members' roles and names, show time, and ticket purchase locations",0.7867,2133.0,0.0017903958712680887,0.7613588814009494
0,3533,"Communication, or California, adolescence, alcohol, and birthdays, or application, video, board, and GMT, or months and numbers related to natural disasters",0.295,7050.0,0.02555767813795099,-0.5861436534281922
0,3533,Months and numbers relating to real estate sales or art exhibitions/events,0.6445000000000001,3555.0,0.11554789890027956,0.32309845928108116
0,3533,"Months, years, ranches, or parts of umbrellas",0.5192,4808.0,0.8347344393971352,-0.14436989635349512
0,3124,"Concepts of locations, recreational activities, and brands",0.0634,9366.0,1.9738948640951725e-06,-0.6685821629655085
0,3124,"Emphasis of a person being under pressure, occurring later, and involving offensive language",0.001300000000000001,9987.0,5.552658549556701e-08,-1.029781984158264
0,3124,Community support or the precise measurement task during a presentation of satellite optics,0.0035000000000000035,9965.0,6.349416600481911e-08,-0.9542705003989393
0,3124,"Biological entities, cell lines, human gene expression profiles",0.9916999999999999,83.0,8.490753085334325e-08,4.69188073946641
0,3124,"High definition video, promotional codes for web hosting and servers, and canvas prints",0.008900000000000007,9911.0,8.803222398386974e-08,-0.8294885699374764
0,1149,"Medical conditions, medical facilities, music, and sports-related narratives",0.10170000000000001,8983.0,1.4325502063420746e-05,-0.9773034000515602
0,1149,"First-person self-reflection, mindset, duration, essay writing, or information about an artist's solo and biennial projects",0.3213,6787.0,0.05161425728269076,-0.5665693046545066
0,1149,Discussions about a specific brand of vehicles or robotics,0.012200000000000011,9878.0,1.0731111766166369e-07,-2.125842039658852
0,1149,"Sudden disasters, such as flash floods, occurring on a specific day of the week, causing casualties and emotional distress, impacting a specific refugee camp with a history of similar events",0.0025000000000000022,9975.0,5.974401278504218e-08,-2.5785854956293406
0,1149,"Chief Information Officer, university affiliations, academic computing, and Snowmass conference",0.003200000000000003,9968.0,6.234580697146196e-08,-2.446896065387583
0,6114,"Years, months, days or ordinal numbers related to time or dates, often related to an event or information",0.8018000000000001,1982.0,0.00101090530840095,1.2240924203747643
0,6114,"Hosting features, including domain registration, reliability, shared hosting options, SSD storage, RAID configurations, bandwidth, dedicated servers, data center redundancy, separate network infrastructure, rack servers, and exceptions to service guarantees",0.4625,5375.0,0.6832690509132039,-0.21601988147581724
0,6114,"Professional certifications, qualifications, or registrations including those related to personal training, healthcare, or home inspection",0.5295000000000001,4705.0,0.7483250177682499,0.033311217815361664
0,6114,Addressing all requests or queries,0.2663,7337.0,0.010910720518499393,-0.6689711786071721
0,6114,Parenting children with learning disabilities or young women helping widows,0.8641,1359.0,7.302347886708786e-05,1.1590203200377838
0,3279,Discussions of university education and writing versus discussions of visual arguments and essays,0.8349,1651.0,0.00026419878533515335,0.941314652867292
0,3279,Guitar Affinity Tele locking tuners and modifications,0.8631000000000001,1369.0,7.64326816953221e-05,1.1073024508739102
0,3279,"Experiences, feelings, or tangible items relating to a particular location or entity",0.9007000000000001,993.0,1.2714646634929388e-05,1.4846538376294656
0,3279,"Topics related to biology, mental disorders, instructional activities, and accommodation information",0.8314,1686.0,0.0003062478545720501,0.9271994407327812
0,3279,Discussions of respiratory conditions or remediation services,0.8048,1952.0,0.0008996649519504927,0.8047692085464676
0,440,"School-related clothing or accessories, counting or numbers, or plants",0.020700000000000017,9793.0,1.7768852307132305e-07,-2.7349396883534687
0,440,Brunettes needing blonde best friends and pairing up with besties,0.12660000000000002,8734.0,4.751326046943474e-05,-1.300877160389889
0,440,"Cosmetics, cars, or locations",0.03500000000000001,9650.0,4.0735528027884647e-07,-2.2346760594399413
0,440,Requests or instructions related to organizational meetings and requests related to information about a playhouse,0.002300000000000002,9977.0,5.9020175083612364e-08,-4.204853860435615
0,440,"Quantities, percentages, or numbers in general",0.09200000000000003,9080.0,8.81003987882254e-06,-2.4081372086839816
0,4405,"School-related clothing or accessories, counting or numbers, or plants",0.006900000000000007,9931.0,7.802852549033112e-08,-2.3189266482625346
0,4405,Brunettes needing blonde best friends and pairing up with besties,0.017100000000000014,9829.0,1.4366178091927859e-07,-1.9166720910496458
0,4405,"Cosmetics, cars, or locations",0.03790000000000001,9621.0,4.80616847289569e-07,-1.9096962325126565
0,4405,Requests or instructions related to organizational meetings and requests related to information about a playhouse,0.0005000000000000004,9995.0,5.287681517994777e-08,-2.9685902038840215
0,4405,"Quantities, percentages, or numbers in general",0.1024,8976.0,1.4830854389035148e-05,-1.951994312661979
0,5781,Kitchen trends and design elements,0.34950000000000003,6505.0,0.10119103066913537,-0.39282568704611637
0,5781,"Reptiles, hosting services, software errors, or train models with power and builder information, and artists exhibiting their artwork",0.1108,8892.0,2.2384836410774433e-05,-0.9073230731192484
0,5781,"Days of the week, months, people's names, or locations",0.5334,4666.0,0.7163523713577546,-0.041750960925422034
0,5781,Dish drying or electronic mail,0.1775,8225.0,0.00044308723344713944,-0.7169600999101209
0,5781,"Australian cities, forklift instructors, customer reviews of car dealerships, liberty mutual insurance, and equipment financing and dividers for small businesses",0.2726,7274.0,0.013252578687195597,-0.5174307680222612
0,3057,"Ingredients or products, often food-related",0.4925,5075.0,0.9353103583250398,-0.09027539598998169
0,3057,"Dental health, medical history, medications, missing teeth, prescribing antibiotics",0.5978,4022.0,0.2868956788302668,0.18473256822980744
0,3057,"Tutorials, software documentation, or online forum posts",0.4023,5977.0,0.28738900407782897,-0.32141742472578405
0,3057,"Discussions about hair, age, or unusual hair growth, book recommendations, and weather phenomena including hurricanes, droughts, and floods",0.2181,7819.0,0.002135793743240293,-0.7752166043438425
0,3057,"Establishing an online presence, licensing agreements, specialized knowledge, or innovative practices",0.4267000000000001,5733.0,0.42484939547577827,-0.25199347786485327
0,5085,"Whirlpool appliances, weapons, cars, music events, or Minecraft servers",0.32430000000000003,6757.0,0.05566450323338543,-0.5006482290081337
0,5085,"Pre-orders, shipping, and delivery information, or home design and lifestyle planning, or unplanned cesarean births and related themes, or healthcare system factors influencing wait times between lung cancer diagnosis and treatment",0.6177,3823.0,0.19992657827408344,0.2944985480672578
0,5085,"Routing, controllers, route ordering, URIs, regex, and controller loading in the context of BootPHP's request handling process",0.09679999999999997,9032.0,1.1221148291094844e-05,-1.081226083639955
0,5085,Terrorism index in Latvia,0.04180000000000003,9582.0,5.994192542019089e-07,-1.360732815103616
0,5085,"Locations or people/roles related to Pennsylvania, or months, leaders, evaluators, and accreditation related to an event",0.10379999999999999,8962.0,1.5893010198355352e-05,-1.0596762188895292
0,4679,"Medical studies of lycopene and cell cycle phases, or time-related concepts, significance, and inspiration/spirituality",0.9901,99.0,9.348904927437994e-08,4.808223927252686
0,4679,"Positive descriptions of food, recipes, or meals",0.9934,66.0,7.66263063621759e-08,5.605772593962583
0,4679,"Current, newest, or most recent, and thorough or complete",0.9971,29.0,6.121758199063496e-08,6.379845904302924
0,4679,"Expressions of positive emotions, accomplishments, and new releases",0.9924999999999999,75.0,8.09078951042024e-08,5.650604636742894
0,4679,"A description of a large park, including its size, amenities (diving platform, wave pools), historical features (log cabin, Native American themes), and planned/future trail connections",0.9912,88.0,8.750382036173956e-08,4.817185227396459
20,328,Visiting Langdon Battery,0.9712,288.0,2.851065911726855e-07,2.571905682721375
20,328,Digital cameras and their features,0.9907,93.0,9.017690101350517e-08,3.797467263696303
20,328,"Financial planning, including insurance, investments, and real estate transactions",0.9968,32.0,6.234580697146196e-08,4.766595080128218
20,328,"The pronoun ""I"" followed by the word ""for""",0.9958,42.0,6.625392847153903e-08,4.869299248421488
20,328,Real estate or car features,0.9928,72.0,7.945558028199424e-08,4.0276644133694
20,5789,Discussions of events ending or concluding,0.9932,68.0,7.755838035388528e-08,5.074977601198754
20,5789,Stages of an event or process,0.9992,8.0,5.385579301457098e-08,6.183765075870141
20,5789,"Creation or construction, effects of accidents or damage, alternatives or choices, hypothetical scenarios, and effort or tasks",0.9886,114.0,1.0229290877398768e-07,4.569619697039818
20,5789,"Home design, creation, and construction",0.9943,57.0,7.256452154484503e-08,5.18720897820305
20,5789,"Creation, completion, or performance of actions/processes",0.9815999999999999,184.0,1.5515046639394815e-07,3.81648631748352
20,4268,"Descriptions, announcements, or reviews of events or establishments",0.6389,3611.0,0.1303486900880189,0.1620624999065138
20,4268,"Second-person pronouns related to legal or purchase agreements, electronic devices, or real estate",0.9772000000000001,228.0,2.0100759771977235e-07,3.4071824865478466
20,4268,Top performing universities and examinees in professional exams,0.575,4250.0,0.41418144752802666,-0.06296223824035457
20,4268,Descriptions of footwear or makeup application instructions,0.6874,3126.0,0.0412388054015975,0.3066942098526426
20,4268,"Descriptions of awards, items by author, or unstructured play",0.5178,4822.0,0.8466607335457176,-0.19857623585009954
20,2988,"Personal accounts and discussions relating to music, musical instruments, or musical equipment",0.2263,7737.0,0.002869964630222869,-0.7819414015637327
20,2988,"Second person pronoun, conjunctions, punctuation, registering somewhere, slash, negation",0.476,5240.0,0.7941480884548793,-0.16990423202468374
20,2988,"Discussions of self-service checkouts, online dog training via Skype, methods of selecting valuable data samples for labeling, or the topic of media rights and clearances",0.5246999999999999,4753.0,0.7882727513709038,-0.06355483265443782
20,2988,Conditional statements or questions about definitions,0.5237,4763.0,0.7966696912067812,-0.04604321745341883
20,2988,Food origin or ingredients,0.4788,5212.0,0.8177632594260409,-0.1689658938328189
20,4683,"Locations, sizes, or items related to a specific product or technology",0.1607,8393.0,0.0002190014064985606,-1.0127235546540572
20,4683,"Dates or time references, especially in the context of a notice or update regarding past discussions or outdated information",0.7314,2686.0,0.011719239848674302,0.6157960945222568
20,4683,wine characteristics,0.9992,8.0,5.385579301457098e-08,4.476608695108643
20,4683,Professional organizations or programs and requirements for membership or application,0.0127,9873.0,1.1056761792455625e-07,-1.8459813019575408
20,4683,"Intentions, anticipation, and activities related to future events",0.060500000000000005,9395.0,1.6872596025735405e-06,-1.4679817676772837
20,6045,"Months and years, first names, and funeral or burial locations in obituaries, or information about recently deceased musicians, including cause of death, band name, platinum status, and names of band members",0.49169999999999997,5083.0,0.9283815992347134,-0.24289080691881132
20,6045,"NVQ level qualification in wood occupations and timber frame erection, including requirements for learners, such as skills, knowledge, and experience, and the option to enroll in the Construction Skills Certification Scheme (CSCS)",0.492,5080.0,0.9309792761050981,-0.2494884685266163
20,6045,"Software, programming, or computer systems and their usage",0.4627,5373.0,0.6848694544667442,-0.3067237101764258
20,6045,"Parenting, including dealing with children's academic performance, failures, and long-term aspirations, as well as acknowledging their accomplishments, behavior, and problems",0.4168,5832.0,0.3649920536224104,-0.4040865216456094
20,6045,"University courses, or jobs in the medical field",0.4446,5554.0,0.5464945030634509,-0.349859604262469
20,5741,"A preposition preceding an indefinite article, or the word ""mistakenly"" followed by a comma, or a comma followed by the word ""reason"" or the word ""for"", or a preposition preceding an adverb describing randomness",0.9815,185.0,1.5607010670551728e-07,3.4784143635107543
20,5741,"Lack of understanding of a process, especially related to color conversion in printing",0.9859,141.0,1.202027718981954e-07,3.6746956592216935
